razao_social_osc,nome_fantasia_osc,natureza_juridica,ano_inicio,classe_atividade_economica,subclasse_atividade_economica,bairro,area_atuacao,subarea_atuacao
ASSOCIACAO BRASILEIRA DOS FORNECEDORES DE MATERIAS PRIMAS TEXTEIS ABRATEX,NÃO INFORMADO,Associação Privada,1999,Atividades de serviços prestados principalmente às empresas não especificadas anteriormente,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,centro,outras atividades associativas; outros,associações de atividades não especificadas anteriormente
GREMIO RECREATIVO UNIMPEX,NÃO INFORMADO,Associação Privada,1999,NÃO INFORMADO,NÃO INFORMADO,centro,cultura e recreação,esporte e recreação
ASSOCIACAO DOS CLUBES DA REGIAO METROPOLITANA DA BAIXADA SANTISTA,NÃO INFORMADO,Associação Privada,1999,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ponta da praia,desenvolvimento e defesa de direitos,outros
ASSOCIACAO HELENICA DE SANTOS,NÃO INFORMADO,Associação Privada,1969,NÃO INFORMADO,NÃO INFORMADO,campo grande,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DOS FUNCIONARIOS DA UNIMED DE SANTOS - A.F.U.S.,A.F.U.S.,Associação Privada,1999,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,gonzaga,desenvolvimento e defesa de direitos,outros
ASSOCIACAO COMUNITARIA E ASSISTENCIAL DO JARDIM RADIO CLUBE,RADIO CLUBE,Associação Privada,1999,NÃO INFORMADO,NÃO INFORMADO,jardim  radio  clube,desenvolvimento e defesa de direitos,outros
CENTRO EDUCACIONAL DE ESTUDOS E ORIENTACAO DO ESPIRITO SANTO,NÃO INFORMADO,Associação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,castelo,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DE USUARIOS DE PLANOS PART. E EMPRESAS CONTRAT. DA COOP. DE TRABALHO MEDICO UNIMED DE SANTOS-APEUCAN,APEUCAN,Associação Privada,1999,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,centro,desenvolvimento e defesa de direitos,outros
C.A.I.O FILHOS DO AMANHA - CENTRO DE APOIO A INSTITUICOES ORGANIZADA FILHOS DO AMANHA,FILHOS DO AMANHA,Associação Privada,1999,NÃO INFORMADO,NÃO INFORMADO,macuco,assistência social,assistência social
IGREJA EVANGELICA PENTECOSTAL JARDIM DE ORACAO,NÃO INFORMADO,Associação Privada,1999,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,jardim sao manoel,religião,religião
GRUPO ASSISTENCIAL ESPIRITA NINHO DE AMOR E LUZ,NÃO INFORMADO,Associação Privada,1999,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,macuco,religião,religião
SOCIEDADE DE MELHORAMENTOS DO BAIRRO DA POMPEIA,NÃO INFORMADO,Associação Privada,1999,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,pompeia,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DE MORADORES DA VILA SANTA CASA,NÃO INFORMADO,Associação Privada,1994,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,encruzilhada,desenvolvimento e defesa de direitos,outros
ASSOCIACAO ALIANCA FRATERNAL DE SANTOS,NÃO INFORMADO,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,embare,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO CASA DO ARTESAO DE SANTOS,ACAST,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,jardim castelo,cultura e recreação,cultura e arte
